url,date,title,changes,file_name,reason_for_consistence,is_trivial,old_hunk_file,new_hunk_file,old_loc,new_loc,old_log,new_log,edit_types,edit_words,edit_feature,cluster
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1073.cpp,use same text format,trivial,data/crawl/make/old_hunk_1073.cpp,data/crawl/make/new_hunk_1073.cpp,3,3,"error (NILF, ""lbr$ini_control failed with status = %d"",status);","error (NILF, _(""lbr$ini_control failed with status = %d""),status);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1074.cpp,use same text format,trivial,data/crawl/make/old_hunk_1074.cpp,data/crawl/make/new_hunk_1074.cpp,3,3,"error (NILF, ""unable to open library `%s' to lookup member `%s'"",
	     archive, (char *)arg);","error (NILF, _(""unable to open library `%s' to lookup member `%s'""),
	     archive, (char *)arg);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1075.cpp,use same text format,trivial,data/crawl/make/old_hunk_1075.cpp,data/crawl/make/new_hunk_1075.cpp,6,6,"printf (""  Date %s"", ctime (&date));","printf (_(""  Date %s""), ctime (&date));","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1075.cpp,use same text format,trivial,data/crawl/make/old_hunk_1075.cpp,data/crawl/make/new_hunk_1075.cpp,7,7,"printf (""  uid = %d, gid = %d, mode = 0%o.\n"", uid, gid, mode);","printf (_(""  uid = %d, gid = %d, mode = 0%o.\n""), uid, gid, mode);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1076.cpp,use same text format,trivial,data/crawl/make/old_hunk_1076.cpp,data/crawl/make/new_hunk_1076.cpp,3,3,"fputs (""*** Break.\n"", stderr);","fputs (_(""*** Break.\n""), stderr);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1077.cpp,use same text format,trivial,data/crawl/make/old_hunk_1077.cpp,data/crawl/make/new_hunk_1077.cpp,3,3,"error (NILF, ""*** [%s] Archive member `%s' may be bogus; not deleted"",
		   on_behalf_of, file->name);","error (NILF, _(""*** [%s] Archive member `%s' may be bogus; not deleted""),
		   on_behalf_of, file->name);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1077.cpp,use same text format,trivial,data/crawl/make/old_hunk_1077.cpp,data/crawl/make/new_hunk_1077.cpp,6,6,"error (NILF, ""*** Archive member `%s' may be bogus; not deleted"",
		   file->name);","error (NILF, _(""*** Archive member `%s' may be bogus; not deleted""),
		   file->name);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1078.cpp,use same text format,trivial,data/crawl/make/old_hunk_1078.cpp,data/crawl/make/new_hunk_1078.cpp,3,3,"error (NILF, ""*** [%s] Deleting file `%s'"", on_behalf_of, file->name);","error (NILF, _(""*** [%s] Deleting file `%s'""), on_behalf_of, file->name);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1078.cpp,use same text format,trivial,data/crawl/make/old_hunk_1078.cpp,data/crawl/make/new_hunk_1078.cpp,5,5,"error (NILF, ""*** Deleting file `%s'"", file->name);","error (NILF, _(""*** Deleting file `%s'""), file->name);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1079.cpp,use same text format,trivial,data/crawl/make/old_hunk_1079.cpp,data/crawl/make/new_hunk_1079.cpp,3,3,"fputs (""#  commands to execute"", stdout);","fputs (_(""#  commands to execute""), stdout);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
